 _____________________________________________________________________________
   IP            At MAC Address     Count     Len  MAC Vendor / Hostname      
 -----------------------------------------------------------------------------
 192.168.37.239  f4:8e:38:7e:15:27      1      60  Dell Inc.
 192.168.38.79   00:e0:4c:0d:23:c2      1      60  REALTEK SEMICONDUCTOR CORP.
 192.168.38.36   74:27:ea:aa:a0:be      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.12.121  04:c8:07:b4:7f:e9      1      60  Xiaomi Communications Co Ltd
 192.168.38.58   74:27:ea:a7:d3:16      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.54   74:27:ea:62:85:23      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.52   74:27:ea:aa:a1:7f      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.15.100  44:19:b6:fe:1d:74      1      60  Hangzhou Hikvision Digital Technology Co.,Ltd.
 192.168.38.50   74:27:ea:aa:a1:73      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.78   74:27:ea:a7:d3:93      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.0.1     00:24:01:d4:57:bd      1      60  D-Link Corporation
 192.168.0.1     00:24:01:d4:57:bc      1      60  D-Link Corporation
 192.168.0.1     00:24:01:d4:57:bb      1      60  D-Link Corporation
 192.168.0.1     00:24:01:d4:57:be      1      60  D-Link Corporation
 192.168.39.1    7c:5a:1c:59:39:1a      1      60  Sophos Ltd
 192.168.38.55   74:27:ea:a7:ce:76      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.69   74:27:ea:a5:4b:6e      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.68   74:27:ea:aa:a0:70      1      60  Elitegroup Computer Systems Co.,Ltd.
 172.16.21.1     7c:5a:1c:59:39:1b      1      60  Sophos Ltd
 192.168.38.53   74:27:ea:a7:ce:88      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.1.1     7c:5a:1c:59:39:16      1      60  Sophos Ltd
 192.168.1.3     00:25:ab:3c:4b:2b      1      60  AIO LCD PC BU / TPV
 192.168.1.17    30:9c:23:f4:8b:2a      1      60  Micro-Star INTL CO., LTD.
 192.168.38.32   74:27:ea:aa:a0:76      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.62   74:27:ea:a7:cf:88      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.1.21    50:9a:4c:0d:ad:c5      1      60  Dell Inc.
 192.168.1.25    48:4d:7e:c3:86:17      1      60  Dell Inc.
 192.168.1.28    c8:9c:dc:f1:f5:9b      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.1.29    1c:83:41:01:7a:c1      1      60  Hefei Bitland Information Technology Co.Ltd
 192.168.1.30    48:4d:7e:c5:9c:2f      1      60  Dell Inc.
 192.168.1.51    50:9a:4c:31:e6:1a      1      60  Dell Inc.
 192.168.1.52    c8:9c:dc:f4:5b:15      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.1.53    c4:2f:90:ad:49:56      1      60  Hangzhou Hikvision Digital Technology Co.,Ltd.
 192.168.38.64   74:27:ea:60:6d:9a      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.57   74:27:ea:a5:51:87      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.56   74:27:ea:a7:d1:42      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.38.1    7c:5a:1c:59:39:1a      1      60  Sophos Ltd
 192.168.3.1     7c:5a:1c:59:39:1a      1      60  Sophos Ltd
 192.168.1.201   00:17:61:10:4e:59      1      60  Private
 192.168.2.1     7c:5a:1c:59:39:19      1      60  Sophos Ltd
 192.168.2.3     00:1f:d0:b7:87:18      1      60  GIGA-BYTE TECHNOLOGY CO.,LTD.
 192.168.2.2     c8:9c:dc:f4:52:f9      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.2.8     1c:83:41:05:2f:70      1      60  Hefei Bitland Information Technology Co.Ltd
 192.168.1.221   00:17:c4:e7:69:34      1      42  Quanta Microsystems, INC.
 192.168.2.114   6c:62:6d:e9:12:05      1      60  Micro-Star INT'L CO., LTD
 192.168.38.70   74:27:ea:a5:50:29      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.2.157   04:09:73:1d:61:80      1      60  Hewlett Packard Enterprise
 192.168.1.20    78:8a:20:ea:6d:9c      1      60  Ubiquiti Networks Inc.
 192.168.2.99    00:6f:64:75:df:a9      1      60  Samsung Electronics Co.,Ltd
 192.168.2.98    7c:2a:31:37:f9:88      1      60  Intel Corporate
 192.168.2.200   24:a4:3c:f4:c4:d2      1      60  Ubiquiti Networks Inc.
 192.168.2.201   68:72:51:2a:a2:2a      1      60  Ubiquiti Networks Inc.
 192.168.2.202   68:72:51:6c:87:be      1      60  Ubiquiti Networks Inc.
 192.168.2.203   68:72:51:2a:a3:5d      1      60  Ubiquiti Networks Inc.
 192.168.2.206   68:72:51:6c:87:ba      1      60  Ubiquiti Networks Inc.
 192.168.2.207   68:72:51:6c:87:81      1      60  Ubiquiti Networks Inc.
 192.168.2.230   c8:9c:dc:e9:8e:97      1      60  Elitegroup Computer Systems Co.,Ltd.
 192.168.3.11    1c:83:41:04:d0:7f      1      60  Hefei Bitland Information Technology Co.Ltd
 192.168.3.10    f4:8e:38:99:e5:b6      1      60  Dell Inc.
 192.168.3.20    74:27:ea:62:c5:ab      1      60  Elitegroup Computer Systems Co.,Ltd.
